,Community,Result,Year,Above 15 ppb,Above 10 ppb,Above 5 ppb,Household_income,Black_income,American_Indian_Income,Asian_income,Hawaiian_income,White_income,Hispanic_income,Total_households,Self_employed,Not_self_employed,Area in Square Miles,Summarized area in Square Miles.1,Income_to_poverty_base,Income_below_poverty_level,Ratio_households_above_poverty_level,Summarized area in Square Miles.2,Percent_white,Percent_black,Percent_native_american,Percent_asian,Percent_hawaiian,Percent_hispanic,Population 9-47 mo1,Total Screened,Percent Screened,Percentage_0-4,Percentage_5-9,Percentage_10-24,Percentage_>25,Percent_Pre-1978_Housing_Units,Percentage_>5
73,FALL RIVER,0.0024097100371747197,2016.0,0.016356877323420074,0.021561338289962824,0.05799256505576208,66610.19324852,3884.82159167,0.0,14803.5644496,0.0,65404.92474349,7236.87234495,1760.89149527,158.34251331,1602.58482921,38.54383492,38.54153656,4190.144165,165.1277854,17.61038109,38.51864876,87.59919089,2.37046753,0.00571532,1.40433414,0.0,4.28410192,3512.0,2669.0,76.0,97.4,2.3,0.3,0.0,82.0,1.6
75,FITCHBURG,0.009689221140472878,2016.9457579972184,0.09318497913769123,0.1502086230876217,0.2851182197496523,70764.20168049,85143.19770458,0.0,98503.84167431,0.0,70972.44796642,21461.16129118,1667.18180566,130.73888666,1536.442919,28.11715732,28.11627707,4237.4748359,199.14077856,8.58159293,28.11627707,77.44120337,3.00170654,0.13627375,4.03949512,0.0,13.73487494,1831.0,1209.0,66.0,97.9,1.6,0.4,0.1,78.0,1.7
76,FLORIDA,0.0034308333333333343,2016.0,0.0,0.027777777777777776,0.25,24737.85407365,0.0,0.0,0.0,0.0,25052.29249843,4.148e-05,250.97150209,32.99625326,216.97536236,24.5978421,24.59774333,557.35027358,11.9860265,8.04323892,24.59774325,37.25323468,1.74688014,0.04062512,0.0,0.0,0.44687632,30.0,6.0,20.0,100.0,0.0,0.0,0.0,60.0,0.0
77,FOXBOROUGH,0.00039,2016.0,0.0,0.0,0.018518518518518517,97976.49605638,45534.84001854,0.0,71764.05415876,0.0,99213.79427715,9.55e-05,2246.5312484,242.47030344,2004.06094497,20.84605682,20.85011105,5605.05098035,98.32031381,136.67976065,20.85011105,87.34922383,4.32340635,0.0,1.83758304,0.0,4.04489101,654.0,503.0,77.0,99.4,0.0,0.0,0.0,57.0,0.0
78,FRAMINGHAM,0.03982230813953489,2016.5232558139535,0.25,0.311046511627907,0.40988372093023256,98867.83821697,46014.63393921,0.0,116510.87994702,0.0,101755.7806672,57236.53237711,2277.68278986,331.38221889,1946.30057097,26.50462874,26.50334496,5308.42345194,153.10173699,26.02444766,26.47390719,72.51613637,5.15978153,0.31430118,8.78918719,0.0,9.76905147,3213.0,2153.0,67.0,98.6,1.1,0.3,0.0,77.0,1.3
79,GARDNER,0.010642580645161293,2016.0,0.14838709677419354,0.17419354838709677,0.3096774193548387,56303.76733481,16225.55219206,0.0,7.733e-05,0.0,57215.40136497,21175.48290619,1879.99738096,182.18733541,1697.81004555,23.01354303,23.01344205,4539.74136119,161.81931985,15.78238795,23.01293593,82.71672235,2.90383518,0.01166882,1.84132459,0.0,8.96045898,779.0,444.0,57.0,94.8,4.1,0.0,0.0,77.0,4.1
80,GLOUCESTER,0.002583212735166414,2016.3646888567293,0.030390738060781478,0.04486251808972504,0.07670043415340087,80747.41012892,12431.56500309,0.0,0.0,0.0,81318.11070782,1005.00439561,1627.25126475,282.83938767,1344.60389235,26.70130451,26.48894756,3633.05457882,147.01740434,11.06237931,26.35632576,94.28539746,0.84889927,0.0,1.56610431,0.0,0.76994805,751.0,686.0,91.0,95.2,4.4,0.0,0.0,78.0,2.9
81,GRAFTON,0.009162499999999997,2018.0,0.01893939393939394,0.022727272727272728,0.056818181818181816,107634.48088648,20345.22872678,0.0,135131.69413662,0.0,106178.36943373,20658.96641191,1920.69416225,199.01084198,1721.68332027,23.30513471,23.30524959,4746.16320219,143.99374619,20.40600832,23.17286123,78.41915113,4.51262482,0.0,7.16008307,0.0,6.3193972,795.0,499.0,63.0,98.6,0.0,0.0,0.0,47.0,0.0
82,GREENFIELD,0.004278162055335968,2017.0,0.043478260869565216,0.08102766798418973,0.16798418972332016,63904.80820601,685.74286922,0.0,1.559e-05,0.0,65537.80577731,52429.78105027,1474.447646,195.80111182,1278.64653418,21.87289597,21.87221785,3153.31058708,173.0958825,8.20369295,21.44497123,88.88548197,1.19175381,0.02318968,1.55846072,0.0,6.28058894,610.0,345.0,57.0,96.8,3.2,0.0,0.0,80.0,2.9
83,GROTON,0.0023589743589743596,2016.0,0.02564102564102564,0.03418803418803419,0.1282051282051282,124683.58613435,0.00038477,0.0,178612.96444336,0.0,123933.49478086,98639.44099622,2102.50482726,453.39039234,1649.11443493,33.78016845,33.7819413,5511.59244371,76.78994197,24.20763196,33.78194131,90.40639539,0.08284741,0.0828474,4.68499672,0.0,1.6711504,367.0,230.0,63.0,97.4,0.0,0.0,0.0,46.0,2.6
